axis,id,time_ms,time_s,encoder,pulses,delta_t_s,vel_cmd_sps,vel_enc_sps
0,11,13,0.013000,136,22,0.013000000,1615.385,9461.538
0,12,14,0.014000,159,25,0.012000000,1916.667,11916.667
0,13,16,0.016000,179,29,0.013000000,1923.077,12307.692
0,14,17,0.017000,202,34,0.013000000,2230.769,13076.923
0,15,19,0.019000,233,38,0.013000000,2384.615,14307.692
0,16,20,0.020000,270,43,0.013000000,2538.462,16153.846
0,17,22,0.022000,304,48,0.013000000,2769.231,18000.000
0,18,23,0.023000,329,54,0.013000000,3000.000,18692.308
0,19,25,0.025000,358,59,0.014000000,2928.571,17785.714
0,20,26,0.026000,413,65,0.013000000,3307.692,21307.692
0,21,28,0.028000,470,71,0.014000000,3285.714,22214.286
0,22,29,0.029000,516,78,0.013000000,3769.231,25923.077
0,23,31,0.031000,552,85,0.014000000,3642.857,25000.000
0,24,32,0.032000,589,92,0.013000000,4153.846,27384.615
0,27,35,0.035000,709,106,0.015000000,4200.000,29266.667
0,28,37,0.037000,763,114,0.015000000,4400.000,30600.000
0,29,38,0.038000,802,122,0.015000000,4533.333,31533.333
0,30,40,0.040000,855,131,0.015000000,4800.000,33133.333
0,31,42,0.042000,923,140,0.016000000,4687.500,31875.000
0,32,43,0.043000,991,148,0.015000000,5133.333,34733.333
0,33,45,0.045000,1050,158,0.016000000,5000.000,33375.000
0,34,46,0.046000,1098,167,0.015000000,5466.667,36400.000
0,35,48,0.048000,1163,177,0.016000000,5312.500,35875.000
0,36,49,0.049000,1233,187,0.014000000,5785.714,37428.571
0,39,53,0.053000,1377,208,0.016000000,5875.000,38375.000
0,40,54,0.054000,1426,219,0.016000000,6062.500,39000.000
0,41,56,0.056000,1487,230,0.016000000,6187.500,39500.000
0,42,57,0.057000,1558,241,0.015000000,6733.333,42333.333
0,43,59,0.059000,1633,252,0.016000000,6500.000,40125.000
0,44,61,0.061000,1701,263,0.016000000,6562.500,40687.500
