OG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,0,8) S=(0,0,6500) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,0,8) S(x,y,z)=(0,0,6500) ]
[FLOW pop_next id=2 remaining=0]\r\n2,1,0,1,1
2,2,0,1,1
2,3,1,3,2
2,4,3,-2,3
2,5,4,-16,5
2,6,6,-29,7
2,7,7,-41,10
2,8,9,-60,12
2,9,11,-79,15
2,10,12,-92,19
2,11,14,-105,22
2,12,15,-134,26
2,13,17,-173,31
2,14,19,-199,35
2,15,20,-217,40
2,16,22,-252,46
2,17,24,-294,51
2,18,25,-315,57
2,19,27,-347,63
2,20,29,-400,70
2,21,30,-447,77
2,22,32,-482,84
2,23,34,-510,91
2,22,25,36,-565,100
4,35,-565,99
2,26,37,-631,107
2,27,39,-667,115
2,28,41,-701,124
2,29,42,-769,133
2,30,44,-846,142
2,31,46,-890,152
2,32,48,-928,162
2,33,49,-1005,172
2,34,51,-1083,183
2,35,53,-1130,194
2,36,54,-1130,200
2,37,55,-1199,205
2,38,56,-1278,217
2,39,58,-1347,229
2,40,60,-1413,241
2,41,62,-1483,253
2,42,64,-1559,265
2,43,65,-1642,277
2,44,67,-1708,289
2,45,69,-1708,300
2,46,69,-1786,302
2,47,71,-1851,314
2,48,72,-1919,326
2,49,74,-2006,338
2,50,76,-2084,350
2,51,78,-2145,363
2,52,79,-2215,375
2,53,81,-2291,387
22,55,83,-2371,400
,54,83,-2371,399
2,56,85,-2445,411
2,57,87,-2503,424
2,58,88,-2588,436
2,59,90,-2667,448
2,60,92,-2733,460
2,61,94,-2806,472
2,62,95,-2884,484
2,63,97,-2952,64,98,-2958,500
8,497
2,65,99,-3026,509
2,66,101,-3091,521
2,67,102,-3184,533
2,68,104,-3266,546
2,69,106,-3323,558
2,70,108,-3390,570
2,71,110,-3474,583
2,72,111,-3563,595
2,73,112,-3563,600

2,74,113,-3633,608
2,75,115,-3689,620
2,76,117,-3773,632
2,77,119,-3858,645
2,78,120,-3931,657
2,79,122,-3999,669
2,80,124,-4073,682
2,81,126,-4156,694
2,82,127,-4156,700
2,83,128,-4230,707
2,84,129,-4298,719
2,85,131,-4384,731
2,86,133,-4462,744
2,87,135,-4530,756
2,88,137,-4595,768
2,89,138,-4680,781
2,90,140,-4768,793
2,91,141,-4768,800
2,92,142,-4838,805
2,93,144,-4896,817
2,94,145,-4980,830
2,95,147,-5066,842
2,96,149,-5143,855
2,97,151,-5206,867
2,98,153,-5284,879
2,99,154,-5365,892
2,100,156,-5365,900
2,101,156,-5444,904
2,102,158,-5515,917
2,103,160,-5593,929
2,104,162,-5674,942
2,105,163,-5745,954
2,106,165,-5816,967
2,107,167,-5907,979
2,108,169,-5989,992
2,109,170,-5989,1000
2,110,171,-6061,1004
2,111,173,-6125,1017
2,112,174,-6205,1030
2,113,176,-6304,1042
2,114,178,-6380,1055
2,115,180,-6442,1068
2,116,182,-6525,1080
2,117,184,-6611,1093
2,118,185,-6611,1100
2,119,185,-6701,1106
2,120,187,-6760,1119
2,121,189,-6838,1131
2,122,191,-6930,1144
2,123,193,-7003,1157
2,124,195,-7078,1169
2,125,197,-7167,1182
2,126,198,-7245,11952,127,199,-7245,1200

2,128,200,-7321,1208
2,129,202,-7384,1221
2,130,204,-7484,1233
2,131,206,-7576,1246
2,132,208,-7635,1259
2,133,209,-7708,1271
2,134,211,-7799,1284
2,135,213,-2,136,214,-7888,1300
7888,1297
2,137,215,-7961,1310
2,138,217,-8025,1322
2,139,219,-8121,1335
2,140,221,-8206,1348
2,141,222,-8277,1360
2,142,224,-8359,1373
2,143,226,-8442,1386
2,2,145,228,-8520,1400
144,228,-8520,1398
2,146,230,-8593,1412
2,147,232,-8676,1424
2,148,233,-8773,1437
2,149,235,-8847,1449
2,150,237,-8916,1462
2,151,239,-8994,1475
2,152,241,-9090,1488
2,153,243,-9090,1500
2,154,243,-9182,1500
2,155,245,-9237,1513
2,156,246,-9316,1526
2,157,248,-9410,1538
2,158,250,-9495,1551
2,159,252,-9567,1564
2,160,254,-9643,1576
2,161,256,-9735,1589
2,162,257,-9735,1600
2,163,257,-9818,1602
2,164,259,-9886,1615
2,165,261,-9973,1627
2,166,263,-10062,1640
2,167,265,-10140,1653
2,168,267,-10207,1666
2,169,269,-10300,1679
2,170,270,-10397,1692
2,171,272,-10397,1700
2,172,272,-10474,1705
2,173,274,-10539,1717
2,174,276,-10626,1730
2,175,278,-10725,1743
2,176,280,-10804,1756
2,177,282,-10872,1769
2,178,283,-10963,1782
2,179,285,-11048,17952,180,286,-11048,1800


2,181,287,-11136,1808
2,182,289,-11206,1820
2,183,291,-11291,1833
2,184,293,-11385,1846
2,185,295,-11456,1859
2,186,297,-11537,1871
2,187,298,-11634,1884
2,188,3002,189,301,-11713,1900
,-11713,1897
2,190,302,-11790,1910
2,191,304,-11858,1923
2,192,306,-11963,1936
2,193,308,-12058,1949
2,194,310,-12122,1962
2,195,311,-12201,1974
2,196,313,-12294,1987
2,197,315,-12294,2000
2,198,315,-12396,2000
2,199,317,-12457,2013
2,200,319,-12532,2026
2,201,321,-12637,2039
2,202,323,-12717,2052
2,203,324,-12789,2064
2,204,326,-12881,2077
2,205,328,-12970,2090
2,206,330,-12970,2100
2,207,330,-13054,2103
2,208,332,-13117,2116
2,209,334,-13215,2129
2,210,336,-13316,2142
2,211,338,-13386,2155
2,212,339,-13460,2167
2,213,341,-13551,2180
2,214,343,-13648,2193
2,215,344,-13648,2200
2,216,345,-13731,2206
2,217,347,-13792,2219
2,218,349,-13887,2232
2,219,351,-13982,2245
2,220,352,-14061,2258
2,221,354,-14137,2270
2,222,356,-14225,2283
2,223,358,-14312,224,359,-14314,2300

,2296
2,225,360,-14393,2309
2,226,362,-14471,2322
2,227,364,-14571,2335
2,228,366,-14656,2347
2,229,367,-14726,2360
2,230,369,-14804,2373
2,231,371,-14909,2386
2,2,233,373,-14996,2400
232,373,-14996,2399
2,234,375,-15062,2412
2,235,377,-15142,2425
2,236,379,-15245,2437
2,237,380,-15337,2450
2,238,382,-15405,2463
2,239,384,-15486,2476
2,240,386,-15584,2489
2,241,388,-15584,2500
2,242,388,-15673,2502
2,243,390,-15746,2515
2,244,392,-15832,2528
2,245,394,-15926,2541
2,246,395,-16004,2553
2,247,397,-16078,2566
2,248,399,-16179,2579
2,249,401,-16270,2592
2,250,402,-16270,2600
2,251,403,-16350,2605
2,252,405,-16417,2618
2,253,407,-16506,2630
2,254,408,-16614,2643
2,255,410,-16689,2656
2,256,412,-16758,2669
2,257,414,-16852,2682
2,258,416,-16943,2692,259,417,-16943,2700


2,260,418,-17036,2708
2,261,420,-17099,2721
2,262,421,-17190,2734
2,263,423,-17287,2746
2,264,425,-17360,2759
2,265,427,-17445,2772
2,266,429,-17540,2785
2,267,42,268,431,-17622,2800
31,-17622,2798
2,269,433,-17696,2811
2,270,435,-17771,2823
2,271,436,-17885,2836
2,272,438,-17973,2849
2,273,440,-18034,2862
2,274,442,-18117,2875
2,275,444,-18215,2888
2,276,446,-18215,2900
2,277,446,-18319,2901
2,278,448,-18376,2914
2,279,449,-18456,2926
2,280,451,-18559,2939
2,281,453,-18641,2952
2,282,455,-18720,2965
2,283,457,-18807,2978
2,284,459,-18896,2991
2,285,460,-18896,3000
2,286,461,-18981,3004
2,287,463,-19050,3017
2,288,464,-19148,3029
2,289,466,-19243,3042
2,290,468,-19315,3055
2,291,470,-19389,3068
2,292,472,-19482,3081
2,293,474,-19583,3094
2,294,475,-19583,3100
2,295,476,-19661,3107
2,296,478,-19726,3120
2,297,479,-19821,3133
2,298,481,-19915,3145
2,299,483,-19998,3158
2,300,485,-20071,3171
2,301,487,-20162,3184
2,302,489,-2,303,489,-20247,3200
20247,3197
2,304,491,-20327,3210
2,305,492,-20409,3222
2,306,494,-20504,3235
2,307,496,-20589,3248
2,308,498,-20659,3261
2,309,500,-20742,3274
2,310,502,-20847,3287
2,312,504,-20927,3300
2,311,504,-20927,3300
2,313,505,-21000,3313
2,314,507,-21077,3325
2,315,509,-21176,3338
2,316,511,-21269,3351
2,317,513,-21337,3364
2,318,515,-21420,3377
2,319,517,-21512,3390
2,320,518,-21512,3400
2,321,519,-21603,3403
2,322,520,-21676,3416
2,323,522,-21755,3429
2,324,524,-21852,3441
2,325,526,-21930,3454
2,326,528,-22003,3467
2,327,530,-22099,3480
2,328,532,-22189,3493
2,329,533,-22189,3500
2,330,534,-22272,3506
2,331,535,-22332,3519
2,332,537,-22425,3532
2,333,539,-22530,3544
2,334,541,-22601,3557
2,335,543,-22670,3570
2,336,545,-22762,3583
2,337,547,-228532,338,547,-22853,3600

3596
2,339,548,-22937,3609
2,340,550,-22999,3621
2,341,552,-23097,3634
2,342,554,-23188,3647
2,343,556,-23257,3660
2,344,558,-23343,3673
2,345,560,-23435,3686
2,2,347,562,-23515,3700

46,561,-23515,3699
2,348,563,-23584,3712
2,349,565,-23665,3724
2,350,567,-23773,3737
2,351,569,-23850,3750
2,352,571,-23916,3763
2,353,573,-23999,3776
2,354,574,-24094,3788
2,355,576,-24094,3800
2,356,576,-24187,3802
2,357,578,-24245,3814
2,358,580,-24329,3827
2,359,582,-24425,3840
2,360,584,-24504,3853
2,361,586,-24581,3866
2,362,588,-24664,3879
2,363,589,-24753,3892
2,364,591,-24753,3900
2,365,591,-24836,3905
2,366,593,-24903,3917
2,367,595,-24998,3930
2,368,597,-25085,3943
2,369,599,-25158,3956
2,370,601,-25228,3969
2,371,603,-25322,3982
2,372,604,-25414,39952,373,605,-25414,4000


2,374,606,-25485,4008
2,375,608,-25553,4020
2,376,610,-25644,4033
2,377,612,-25736,4046
2,378,614,-25811,4059
2,379,616,-25881,4071
2,380,617,-25975,4084
2,381,6192,382,620,-26056,4100
,-26056,4097
2,383,621,-26134,4110
2,384,623,-26210,4123
2,385,625,-26298,4136
2,386,627,-26383,4149
2,387,629,-26450,4162
2,388,630,-26534,4175
2,389,632,-26628,4187
2,390,634,-26628,4200
2,391,634,-26710,4200
2,392,636,-26776,4213
2,393,638,-26852,4226
2,394,640,-26951,4239
2,395,642,-27035,4252
2,396,644,-27097,4265
2,397,645,-27180,4278
2,398,647,-27268,4291
2,399,649,-27268,4300
2,400,649,-27361,4304
2,401,651,-27422,4316
2,402,653,-27499,4329
2,403,655,-27596,4342
2,404,657,-27670,4355
2,405,659,-27742,4368
2,406,660,-27831,4381
2,407,662,-27913,4394
2,408,663,-27913,4400
2,409,664,-27991,4407
2,410,666,-28050,4419
2,411,668,-28148,4432
2,412,670,-28243,4445
2,413,672,-28304,4458
2,414,673,-28375,4471
2,415,675,-28465,4483
2,416,677,-22,417,678,-28555,4500

555,4496
2,418,679,-28625,4509
2,419,681,-28688,4522
2,420,683,-28786,4535
2,421,685,-28870,4548
2,422,686,-28940,4561
2,423,688,-29019,4574
2,424,690,-29104,4587
2,426,692,-29180,4600
2,425,692,-29180,4599
2,427,694,-29250,4612
2,428,696,-29335,4625
2,429,698,-29429,4638
2,430,700,-29499,4651
2,431,701,-29566,4664
2,432,703,-29647,4677
2,433,705,-29742,4690
2,434,707,-29742,4700
2,435,707,-29825,4703
2,436,709,-29879,4715
2,437,711,-29962,4728
2,438,713,-30055,4741
2,439,714,-30135,4754
2,440,716,-30202,4767
2,441,718,-30280,4780
2,442,720,-30365,4793
2,443,721,-30365,4800
2,444,722,-30445,4806
2,445,724,-30516,4818
2,446,726,-30601,4831
2,447,728,-30682,4844
2,448,729,-30751,4857
2,449,731,-30823,4870
2,450,733,-30919,4883
2,451,735,-309992,452,736,-30999,4900

4896
2,453,737,-31067,4909
2,454,739,-31133,4922
2,455,741,-31223,4934
2,456,743,-31316,4947
2,457,744,-31380,4960
2,458,746,-31448,4973
2,459,748,-31534,4986
2,42,461,750,-31614,5000

0,750,-31614,4998
2,462,752,-31696,5011
2,463,754,-31761,5024
2,464,756,-31846,5037
2,465,757,-31927,5050
2,466,759,-31996,5063
2,467,761,-32080,5076
2,468,763,-32165,5089
2,469,765,-32165,5100
2,470,765,-32244,5102
2,471,767,-32303,5114
2,472,769,-32381,5127
2,473,770,-32482,5140
2,474,772,-32555,5153
2,475,774,-32613,5166
2,476,776,-32694,5179
2,477,778,-32781,5192
2,478,779,-32781,5200
2,479,780,-32870,5205
2,480,782,-32924,5217
2,481,784,-33005,5230
2,482,785,-33095,5243
2,483,787,-33164,5256
2,484,789,-33242,5269
2,485,791,-33326,5282
2,486,793,-33402,52952,487,794,-33402,5300

2,488,795,-33472,5308
