LOG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,0,1) S=(0,0,400) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,0,1) S(x,y,z)=(0,0,400) ]
[FLOW pop_next id=2 remaining=0]\r\n2,1,0,-17,1
2,2,0,-17,1
2,3,1,-29,2
2,4,3,-79,3
2,5,4,-147,5
2,6,6,-193,6
2,7,7,-195,8
2,8,9,-215,9
2,9,10,-282,11
2,10,12,-350,12
2,11,14,-387,14
2,12,15,-397,15
2,13,17,-428,17
2,14,18,-492,18
2,15,20,-549,20
2,16,21,-577,22
2,17,23,-597,23
2,18,25,-635,25
2,19,26,-692,26
2,20,28,-744,28
2,21,29,-777,29
2,22,31,-815,31
2,23,32,-850,32
2,24,34,-894,34
2,25,36,-942,35
2,26,37,-982,37
2,27,39,-1019,38
2,28,40,-1049,40
2,29,42,-1087,42
2,30,43,-1143,43
2,31,45,-1191,45
2,32,47,-1230,46
2,33,48,-1260,48
2,34,50,-1294,49
2,35,51,-1350,51
2,36,53,-1399,52
2,37,55,-1432,54
2,38,56,-1459,56
2,39,58,-1495,57
2,40,59,-1554,59
2,41,61,-1605,60
2,42,63,-1643,62
2,43,64,-1674,63
2,44,66,-1707,65
2,45,67,-1760,67
2,46,69,-1811,68
2,47,71,-1849,70
2,48,72,-1876,71
2,49,74,-1907,73
2,50,75,-1961,74
2,51,77,-2017,76
2,52,78,-2056,77
2,53,80,-2090,79
2,54,82,-2119,81
2,55,83,-2167,82
2,56,85,-2223,84
2,57,86,-2262,85
2,58,88,-2292,87
2,59,90,-2319,88
2,60,91,-2367,90
2,61,93,-2426,91
2,62,94,-2469,93
2,63,96,-2506,95
2,64,98,-2533,96
2,65,99,-2576,98
2,66,102,67,101,-2633,100
1,-2633,99
2,68,102,-2683,101
2,69,104,-2707,102
2,70,106,-2733,104
2,71,107,-2786,106
2,72,109,-2849,107
2,73,111,-2889,109
2,74,112,-2924,111
2,75,114,-2958,112
2,76,115,-3003,114
2,77,117,-3057,115
2,78,119,-3099,117
2,79,120,-3134,119
2,80,122,-3163,120
2,81,124,-3208,122
2,82,125,-3268,123
2,83,127,-3314,125
2,84,129,-3351,127
2,85,130,-3379,128
2,86,132,-3423,130
2,87,133,-3482,131
2,88,135,-3526,133
2,89,137,-3557,135
2,90,138,-3585,136
2,91,140,-3633,138
2,92,142,-3695,139
2,93,143,-3738,141
2,94,145,-3773,143
2,95,147,-3802,144
2,96,148,-3848,146
2,97,150,-3906,147
2,98,151,-3949,149
2,99,153,-3979,151
2,100,155,-4008,152
2,101,156,-4058,154
2,102,158,-4119,155
2,103,160,-4163,157
2,104,161,-4198,159
2,105,163,-4229,160
2,106,165,-4277,162
2,107,166,-4335,164
2,108,168,-4375,165
2,109,170,-4406,167
2,110,171,-4436,168
2,111,173,-4490,170
2,112,175,-4550,172
2,113,176,-4592,173
2,114,178,-4625,175
2,115,180,-4656,177
2,116,181,-4708,178
2,117,183,-4764,180
2,118,185,-4803,181
2,119,186,-4832,183
2,120,188,-4865,185
2,121,190,-4923,186
2,122,191,-4980,188
2,123,193,-5019,190
2,124,195,-5053,191
2,125,196,-5086,193
2,126,198,-5140,195
2,127,200,-5192,196
2,128,201,-5230,198
2,12,130,203,-5258,200
29,203,-5258,199
2,131,205,-5301,201
2,132,206,-5354,203
2,133,208,-5399,204
2,134,210,-5443,206
2,135,211,-5483,208
2,136,213,-5516,209
2,137,215,-5567,211
2,138,216,-5618,212
2,139,218,-5658,214
2,140,220,-5686,216
2,141,221,-5721,217
2,142,223,-5783,219
2,143,224,-5835,221
2,144,226,-5872,222
2,145,228,-5901,224
2,146,229,-5941,225
2,147,231,-6001,227
2,148,233,-6049,229
2,149,234,-6080,230
2,150,236,-6108,232
2,151,238,-6153,234
2,152,239,-6215,235
2,153,241,-6258,237
2,154,243,-6295,238
2,155,244,-6329,240
2,156,246,-6371,242
2,157,248,-6426,243
2,158,249,-6471,245
2,159,251,-6505,247
2,160,253,-6535,248
2,161,254,-6581,250
2,162,256,-6641,251
2,163,258,-6684,253
2,164,259,-6721,255
2,165,261,-6751,256
2,166,263,-6797,258
2,167,264,-6855,260
2,168,266,-6897,261
2,169,268,-6928,263
2,170,269,-6958,264
2,171,271,-7009,266
2,172,273,-7067,268
2,173,274,-7108,269
2,174,276,-7144,271
2,175,278,-7175,273
2,176,279,-7224,274
2,177,281,-7279,276
2,178,283,-7319,277
2,179,284,-7350,279
2,180,286,-7381,281
2,181,288,-7435,282
2,182,289,-7492,284
2,183,291,-7531,286
2,184,293,-7566,287
2,185,294,-7599,289
2,186,296,-7651,290
2,187,297,-7703,292
2,188,299,-7741,294
2,189,301,-7770,295
2,190,302,-7805,297
2,191,304,-7863,299
2,192,305,-7863,300
2,193,306,-7922,300
2,194,307,-7955,302
2,195,309,-7984,303
2,196,311,-8023,305
2,197,312,-8081,307
2,198,314,-8127,308
2,199,316,-8158,310
2,200,317,-8192,312
2,201,319,-8233,313
2,202,321,-8290,315
2,203,322,-8334,316
2,204,324,-8374,318
2,205,326,-8410,320
2,206,327,-8446,321
2,207,329,-8500,323
2,208,331,-8547,325
2,209,332,-8583,326
2,210,334,-8611,328
2,211,336,-8651,329
2,212,337,-8712,331
2,213,339,-8758,333
2,214,341,-8796,334
2,215,342,-8825,336
2,216,344,-8866,338
2,217,346,-8923,339
2,218,347,-8968,341
2,219,349,-8998,342
2,220,351,-9027,344
2,221,352,-9074,346
2,222,354,-9133,347
2,223,356,-9175,349
2,224,357,-9212,351
2,225,359,-9243,352
2,226,361,-9287,354
2,227,362,-9343,355
2,228,364,-9384,357
2,229,366,-9416,359
2,230,367,-9445,360
2,231,369,-9494,362
2,232,371,-9551,364
2,233,372,-9593,365
2,234,374,-9629,367
2,235,375,-9659,368
2,236,377,-9705,370
2,237,379,-9760,372
2,238,380,-9799,373
2,239,382,-9829,375
2,240,384,-9860,377
2,241,385,-9913,378
2,242,387,-9969,380
2,243,389,-10008,381
2,244,390,-10042,383
2,245,392,-10074,385
2,246,394,-10126,386
2,247,395,-10178,388
2,248,397,-10215,390
2,249,399,-10245,391
2,250,401,-10281,393
2,251,402,-10340,395
2,252,404,-10390,396
2,253,406,-10428,398
2,254,407,-1042,255,408,-10459,400

9,399
LOG:service=motion,state=start_move,status=running
[FLOW start_move running]
OG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,0,1) S=(0,0,1650) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,0,1) S(x,y,z)=(0,0,1650) ]
[FLOW pop_next id=2 remaining=0]\r\n2,1,0,-21,1
2,2,0,-21,1
2,3,1,-33,2
2,4,3,-82,3
2,5,4,-148,5
2,6,6,-190,6
2,7,7,-194,8
2,8,9,-214,9
2,9,10,-279,11
2,10,12,-342,12
2,11,14,-377,14
2,12,15,-387,15
2,13,17,-418,17
2,14,18,-480,18
2,15,20,-534,20
2,16,21,-560,22
2,17,23,-582,23
2,18,25,-618,25
2,19,26,-673,26
2,20,28,-721,28
2,21,29,-753,29
2,22,31,-789,31
2,23,32,-822,32
2,24,34,-862,34
2,25,36,-908,35
2,26,37,-948,37
2,27,39,-984,38
2,28,40,-1013,40
2,29,42,-1051,42
2,30,43,-1105,43
2,31,45,-1151,45
2,32,47,-1187,46
2,33,48,-1216,48
2,34,50,-1248,49
2,35,51,-1301,51
2,36,53,-1347,52
2,37,55,-1379,54
2,38,56,-1405,56
2,39,58,-1440,57
2,40,59,-1496,59
2,41,61,-1543,60
2,42,63,-1579,62
2,43,64,-1609,63
2,44,66,-1640,65
2,45,67,-1689,66
2,46,69,-1738,68
2,47,70,-1773,70
2,48,72,-1801,71
2,49,74,-1831,73
2,50,75,-1882,74
2,51,77,-1934,76
2,52,78,-1972,77
2,53,80,-2005,79
2,54,82,-2032,81
2,55,83,-2076,82
2,56,85,-2129,84
2,57,86,-2167,85
2,58,88,-2196,87
2,59,90,-2222,88
2,60,91,-2267,90
2,61,93,-2322,91
2,62,94,-2362,93
2,63,96,-2396,95
2,64,98,-2424,96
2,65,99,-2462,98
2,66,1012,67,101,-2515,100

-2515,99
2,68,102,-2564,101
2,69,104,-2587,102
2,70,106,-2612,104
2,71,107,-2662,106
2,72,109,-2720,107
2,73,111,-2759,109
2,74,112,-2792,110
2,75,114,-2823,112
2,76,115,-2864,114
2,77,117,-2916,115
2,78,119,-2956,117
2,79,120,-2989,118
2,80,122,-3017,120
2,81,124,-3060,122
2,82,125,-3115,123
2,83,127,-3158,125
2,84,129,-3193,126
2,85,130,-3220,128
2,86,132,-3260,130
2,87,133,-3314,131
2,88,135,-3356,133
2,89,137,-3385,135
2,90,138,-3412,136
2,91,140,-3456,138
2,92,142,-3513,139
2,93,143,-3556,141
2,94,145,-3589,143
2,95,147,-3616,144
2,96,148,-3658,146
2,97,150,-3712,147
2,98,151,-3752,149
2,99,153,-3780,151
2,100,155,-3808,152
2,101,156,-3854,154
2,102,158,-3910,155
2,103,160,-3950,157
2,104,161,-3986,159
2,105,163,-4015,160
2,106,165,-4058,162
2,107,166,-4111,164
2,108,168,-4150,165
2,109,170,-4180,167
2,110,171,-4209,168
2,111,173,-4257,170
2,112,175,-4312,172
2,113,176,-4351,173
2,114,178,-4385,175
2,115,180,-4413,177
2,116,181,-4460,178
2,117,183,-4512,180
2,118,185,-4549,181
2,119,186,-4577,183
2,120,188,-4608,185
2,121,190,-4659,186
2,122,191,-4711,188
2,123,193,-4749,190
2,124,195,-4781,191
2,125,196,-4812,193
2,126,198,-4861,194
2,127,200,-4910,196
2,128,201,-4945,198
2,129,2,130,203,-4972,200
203,-4972,199
2,131,205,-5012,201
2,132,206,-5060,203
2,133,208,-5103,204
2,134,209,-5144,206
2,135,211,-5181,207
2,136,213,-5211,209
2,137,214,-5258,211
2,138,216,-5306,212
2,139,218,-5343,214
2,140,219,-5369,216
2,141,221,-5402,217
2,142,223,-5459,219
2,143,224,-5508,220
2,144,226,-5543,222
2,145,228,-5570,224
2,146,229,-5605,225
2,147,231,-5661,227
2,148,233,-5704,229
2,149,234,-5734,230
2,150,236,-5761,232
2,151,238,-5802,233
2,152,239,-5859,235
2,153,241,-5900,237
2,154,243,-5936,238
2,155,244,-5966,240
2,156,246,-6004,242
2,157,248,-6056,243
2,158,249,-6097,245
2,159,251,-6128,246
2,160,253,-6157,248
2,161,254,-6200,250
2,162,256,-6255,251
2,163,258,-6297,253
2,164,259,-6331,255
2,165,261,-6359,256
2,166,263,-6400,258
2,167,264,-6453,259
2,168,266,-6492,261
2,169,268,-6521,263
2,170,269,-6549,264
2,171,271,-6596,266
2,172,273,-6651,268
2,173,274,-6690,269
2,174,276,-6723,271
2,175,278,-6751,272
2,176,279,-6796,274
2,177,281,-6848,276
2,178,282,-6884,277
2,179,284,-6912,279
2,180,286,-6943,281
2,181,287,-6993,282
2,182,289,-7045,284
2,183,291,-7082,285
2,184,292,-7115,287
2,185,294,-7145,289
2,186,296,-7193,290
2,187,297,-7241,292
2,188,299,-7275,294
2,189,301,-7303,295
2,190,302,-7337,297
2,191,304,-7389,298
2,192,305,-7389,300
2,193,306,-7444,300
2,194,307,-7476,302
2,195,309,-7502,303
2,196,311,-7538,305
2,197,312,-7593,307
2,198,314,-7635,308
2,199,316,-7663,310
2,200,317,-7695,312
2,201,319,-7733,313
2,202,321,-7785,315
2,203,322,-7826,316
2,204,324,-7864,318
2,205,326,-7898,320
2,206,327,-7930,321
2,207,329,-7979,323
2,208,331,-8022,325
2,209,332,-8056,326
2,210,334,-8084,328
2,211,336,-8121,329
2,212,337,-8176,331
2,213,339,-8221,333
2,214,341,-8255,334
2,215,342,-8283,336
2,216,344,-8321,338
2,217,346,-8375,339
2,218,347,-8416,341
2,219,349,-8445,342
2,220,351,-8473,344
2,221,352,-8515,346
2,222,354,-8569,347
2,223,356,-8610,349
2,224,357,-8644,351
2,225,359,-8672,352
2,226,361,-8712,354
2,227,362,-8765,355
2,228,364,-8803,357
2,229,366,-8832,359
2,230,367,-8861,360
2,231,369,-8906,362
2,232,370,-8959,364
2,233,372,-8998,365
2,234,374,-9032,367
2,235,375,-9060,368
2,236,377,-9103,370
2,237,379,-9154,372
2,238,380,-9191,373
2,239,382,-9219,375
2,240,384,-9249,377
2,241,385,-9297,378
