LOG:service=motion,state=start_move,status=running
[FLOW start_move running]
LOG:service=safety,state=init,status=normal
LOG:service=home,state=init,status=ok
LOG:service=probe,state=init,status=ok
LOG:service=motion,state=init,status=timers_ready
[FLOW queue_add ok id=2 dir=0x07 V=(0,0,8) S=(0,0,3210) depth=1]
LOG:service=motion,state=queue_add,status=frame=2 dirMask=0x07 queue=1
[FLOW start_move request depth=1 active=0 ids=(2) ]
[FLOW begin_segment id=2 dirMask=0x07 V(x,y,z)=(0,0,8) S(x,y,z)=(0,0,3210) ]
[FLOW pop_next id=2 remaining=0]\r\n
2,1,0,5,1
2,2,0,5,1
2,3,1,13,2
2,4,3,-17,3
2,5,4,-79,5
2,6,6,-143,7
2,7,7,-196,10
2,8,9,-251,12
2,9,11,-324,15
2,10,12,-419,19
2,11,14,-508,23
2,12,16,-600,27
2,13,17,-709,31
2,14,19,-831,36
2,15,20,-947,41
2,16,22,-1073,46
2,17,24,-1218,52
2,18,25,-1362,58
2,19,27,-1515,64
2,20,29,-1677,70
2,21,31,-1844,77
2,22,32,-2020,85
2,23,34,-2201,92
2,24,36,-2201,100
2,25,36,-2421,100
2,26,37,-2595,108
2,27,39,-2778,117
2,28,41,-3004,126
2,29,43,-3253,135
2,30,44,-3468,144
2,31,46,-3679,154
2,32,48,-3934,164
2,33,50,-4204,174
2,34,52,-4450,185
2,35,53,-4691,1962,36,54,-4691,200

2,37,55,-4990,207
2,38,57,-5243,219
2,39,59,-5525,231
2,40,61,-5833,243
2,41,62,-6128,255
2,42,64,-6405,267
2,43,66,-6692,279
2,44,68,-6995,291
2,45,69,-6995,300
2,46,69,-7320,304
2,47,71,-7551,316
2,48,73,-7824,328
2,49,75,-8161,340
2,50,76,-8466,352
2,51,78,-8715,364
2,52,80,-8989,377
2,53,82,-9310,389
2,54,83,-9310,400
2,55,84,-9641,401
2,56,85,-9871,413
2,57,87,-10134,426
2,58,89,-10480,438
2,59,91,-10781,450
2,60,92,-11044,463
2,61,94,-11329,475
2,62,96,-11652,487
2,64,98,-11940,500
2,63,98,-11940,499
2,65,100,-12218,512
2,66,101,-12488,524
2,67,103,-12835,537
2,68,105,-13151,549
2,69,107,-13418,562
2,70,109,-13705,574
2,71,110,-14034,587
2,73,112,-14330,600
2,72,112,-14330,599
2,74,114,-14624,612
2,75,116,-14894,625
2,76,118,-15246,637
2,77,120,-15563,650
2,78,121,-15839,662
2,79,123,-16127,675
2,80,125,-16463,687
2,82,127,-16762,700
2,81,127,-16762,699
2,83,129,-17062,712
2,84,130,-17341,725
2,85,132,-17697,737
2,86,134,-18022,750
2,87,136,-18300,762
2,88,138,-18598,775
2,89,139,-18941,787
2,90,141,-19243,800
2,91,141,-19243,800
2,92,143,-19549,812
2,93,145,-19835,825
2,94,147,-20200,837
2,95,149,-20532,850
2,96,150,-20816,862
2,97,152,-21121,875
2,98,154,-21470,887
2,99,156,-21470,900
2,100,156,-21829,900
2,101,158,-22098,913
2,102,160,-22392,925
2,103,161,-22775,938
2,104,163,-23117,951
2,105,165,-23409,963
2,106,167,-23728,976
2,107,169,-24089,989
2,108,170,-24089,1000
2,109,171,-24455,1002
2,110,172,-24726,1015
2,111,174,-25045,1027
2,112,176,-25444,1040
2,113,178,-25781,1053
2,114,180,-26080,1066
2,115,182,-26428,1079
2,116,184,-26790,1092
2,117,185,-26790,1100
2,118,186,-27155,1105
2,119,187,-27422,1118
2,120,189,-27773,1130
2,121,191,-28167,1143
2,122,193,-28493,1156
2,123,195,-28794,1169
2,124,197,-29160,1182
2,125,199,-29515,1192,126,199,-29515,1200


2,127,200,-29863,1208
2,128,202,-30134,1221
2,129,204,-30511,1234
2,130,206,-30887,1246
2,131,208,-31201,1259
2,132,210,-31507,1272
2,133,212,-31881,1285
2,134,22,135,214,-32219,1300
14,-32219,1297
2,136,215,-32549,1311
2,137,217,-32836,1323
2,138,219,-33229,1336
2,139,221,-33584,1349
2,140,223,-33884,1362
2,141,225,-34206,1375
2,142,227,-34571,1388
2,143,228,-34571,1400
2,144,228,-34941,1401
2,145,230,-35209,1414
2,146,232,-35520,1426
2,147,234,-35906,1439
2,148,236,-36236,1452
2,149,238,-36527,1465
2,150,240,-36864,1478
2,151,242,-37211,1491
2,152,243,-37211,1500
2,153,243,-37567,1504
2,154,245,-37826,1517
2,155,247,-38152,1529
2,156,249,-38528,1542
2,157,251,-38841,1555
2,158,253,-39125,1568
2,159,255,-39466,1581
2,160,256,-39799,1594
2,161,257,-39799,1600
2,162,258,-40128,1607
2,163,260,-40382,1620
2,164,262,-40728,1633
2,165,264,-41083,1645
2,166,266,-41378,1658
2,167,268,-41659,1671
2,168,270,-42002,1684
2,169,271,-2,170,272,-42320,1700
42320,1697
2,171,273,-42630,1710
2,172,275,-42893,1722
2,173,277,-43252,1735
2,174,279,-43590,1748
2,175,281,-43866,1761
2,176,283,-44160,1774
2,177,284,-44500,1787
2,179,286,-44802,1800
2,178,286,-44802,1800
2,180,288,-45098,1813
2,181,290,-45383,1825
2,182,292,-45739,1838
2,183,294,-46053,1851
2,184,296,-46327,1864
2,185,298,-46635,1877
2,186,299,-46964,1890
2,187,301,-46964,1900
2,188,301,-47298,1903
2,189,303,-47544,1916
2,190,305,-47846,1928
2,191,307,-48203,1941
2,192,309,-48499,1954
2,193,311,-48768,1967
2,194,312,-49090,1980
2,195,314,-49411,1993
2,196,315,-49411,2000
2,197,316,-49731,2006
2,198,318,-49979,2019
2,199,320,-50306,2032
2,200,322,-50649,2044
2,201,324,-50936,2057
2,202,326,-51214,2070
2,203,327,-51542,2083
2,204,329,-518582,205,330,-51858,2100
,2096
2,206,331,-52160,2109
2,207,333,-52416,2121
2,208,335,-52763,2134
2,209,337,-53100,2147
2,210,339,-53378,2160
2,211,340,-53667,2173
2,212,342,-54006,2186
2,2,214,344,-54313,2200

13,344,-54313,2199
2,215,346,-54610,2212
2,216,348,-54888,2224
2,217,350,-55252,2237
2,218,352,-55578,2250
2,219,353,-55855,2263
2,220,355,-56160,2276
2,221,357,-56506,2288
2,222,359,-56506,2300
2,223,359,-56854,2302
2,224,361,-57105,2315
2,225,363,-57414,2328
2,226,365,-57786,2340
2,227,367,-58097,2353
2,228,368,-58378,2366
2,229,370,-58712,2379
2,230,372,-59053,2391
2,231,373,-59053,2400
2,232,374,-59398,2405
2,233,376,-59653,2418
2,234,378,-59996,2431
2,235,380,-60365,2443
2,236,382,-60676,2456
2,237,383,-60966,2469
2,238,385,-61318,2482
2,239,387,-61657,24952,240,388,-61657,2500


2,241,389,-61993,2508
2,242,391,-62260,2520
2,243,393,-62627,2533
2,244,395,-62997,2546
2,245,396,-63303,2559
2,246,398,-63605,2572
2,247,400,-63978,2585
2,248,42,249,402,-64316,2600

2,-64316,2598
2,250,404,-64643,2611
2,251,406,-64926,2623
2,252,408,-65322,2636
2,253,409,-65677,2649
2,254,411,-65981,2662
2,255,413,-66300,2675
2,256,415,-66676,2687
2,257,417,-66676,2700
2,258,417,-67049,2701
2,259,419,-67328,2713
2,260,421,-67649,2726
2,261,423,-68049,2739
2,262,424,-68387,2752
2,263,426,-68689,2765
2,264,428,-69036,2778
2,265,430,-69402,2791
2,266,431,-69402,2800
2,267,432,-69769,2804
2,268,434,-70037,2816
2,269,436,-70382,2829
2,270,437,-70777,2842
2,271,439,-71105,2855
2,272,441,-71404,2868
2,273,443,-71763,2881
2,274,445,-72118,2894
2,275,446,-72118,2900
2,276,447,-72464,2906
2,277,449,-72730,2919
2,278,451,-73097,2932
2,279,452,-73477,2945
2,280,454,-73791,2958
2,281,456,-74086,2970
2,282,458,-74455,2983
2,283,460,-7472,284,460,-74796,3000

96,2996
2,285,462,-75122,3009
2,286,464,-75395,3022
2,287,465,-75776,3035
2,288,467,-76132,3048
2,289,469,-76427,3060
2,290,471,-76723,3073
2,291,473,-77068,3085
2,292,475,-72,293,475,-77359,3100

359,3097
2,294,476,-77653,3108
2,295,478,-77888,3119
2,296,480,-78203,3130
2,297,482,-78497,3141
2,298,484,-78726,3151
2,299,486,-78954,3161
2,300,487,-79222,3171
2,301,489,-79457,3180
2,302,491,-79673,3189
2,303,493,2,304,493,-79880,3200
-79880,3198
2,305,495,-80113,3206
LOG:service=motion,state=start_move,status=running
[FLOW start_move running]
